source,text_data,sentiment
BBC News,"The US is quietly arming Taiwan to the teeth When US President Joe Biden recently signed off on a $80m grant to Taiwan for the purchase of American military equipment, China said it ""deplores and opposes"" what Washington had done. 
To the casu… [+10062 America is using its own money to send weapons to a place it officially doesn't recognise.",0
BBC News,"Israel Gaza war: Hamas-run health ministry says Gaza death toll passes 10,000 The Hamas-run health ministry in Gaza says more than 10,000 people have been killed in the Palestinian territory since Israel started bombing it last month.
More than 4,000 of those killed were chil… [+3786 Israel started bombing the Palestinian territory after coming under attack from Hamas on 7 October.",0
BBC News,"Israelis and Palestinians fear worst to come after Gaza violence In the last few days I have been in southern Israel close to the border with Gaza, deep in the West Bank with hard-line Jewish settlers, and seen the funeral of two young Palestinian men killed by th… [+11371 The grim old routines that had settled on this conflict have been swept away, says Jeremy Bowen.",0
Ars Technica,"Biden issues sweeping executive order that touches AI risk, deepfakes, privacy 9 with 
On Monday, President Joe Biden issued an executive order on AI that outlines the federal government's first comprehensive regulations on generative AI systems. The order includes testing man… [+3321 Order details US admin's approach to AI safety, media authenticity, job loss, and more.",0
Ars Technica,"Teen boys use AI to make fake nudes of classmates, sparking police probe Enlarge/ Westfield High School in Westfield, NJ, in 2020.
15 with 
This October, boys at Westfield High School in New Jersey started acting ""weird,"" the Wall Street Journal reported. It took four d… [+5869 Parents told the high school ""believed"" the deepfake nudes were deleted.",0
MacRumors,"Potential Apple Watch Ban Issued by US Trade Tribunal in Masimo Patent Battle The U.S. International Trade Commission (ITC) on Thursday ordered a ban on Apple Watch imports into the country after finding that Apple violated pulse oximetry company Masimo's patents with the devi… [+2008 The U.S. International Trade Commission (ITC) on Thursday ordered a ban on Apple Watch imports into the country after finding that Apple violated pulse oximetry company Masimo's patents with the devices (via Reuters). 





The ban is now subject to president…",0
CNET,"Student Loan Payments Have Restarted. Here's What Happens If You Don't Pay - CNET While student loan payments were put on pause during the COVID-19 pandemic, the government has since declared that the public health emergency is officially over, and student loan payments officially… [+6684 Student loan repayments officially restarted at the beginning of this month, and there could be serious consequences if you don't pay.",0
CNET,"Here's How to Order Your Free COVID-19 Test Kits In Minutes - CNET Winter is right around the corner, and it's no surprise that COVID-19 cases are expected to rise as the colder weather sets in. If you want to be armed with tests before a potential winter surge sets… [+7692 We show you how you can get your hands on free COVID tests, vaccines and treatments as winter approaches.",0
Business Insider,"A train derailment spewed coal across a Colorado highway and killed a semitruck driver, authorities say PUEBLO, Colo. (AP) A semi-trailer truck driver was killed when a train derailed and a bridge collapsed, spewing coal and mangled train cars across a highway near Pueblo, Colorado, on Sunday, authorit… [+1897 Images from the train derailment in Pueblo County, Colorado, show a partially collapsed bridge over the interstate with the semi-truck caught beneath.",0
Business Insider,"106 House Republicans voted to defund Vice President Kamala Harris's office House Republicans just tried and failed to defund the office of Vice President Kamala Harris.
Republican Rep. Mike Collins of Georgia proposed an amendment to the Financial Services and General Gove… [+1640 The amendment from Rep. Mike Collins of Georgia failed due to the opposition of several Republicans.",0
